class,requirement,RequirementText
PE, When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user s connection.),streaming movie buffering time take longer second plus latency user connection
PE, While streaming a movie  buffering should only occur if there is latency in the user s connection.,streaming movie buffering occur latency user connection
SE, All credit card information will be secured on the server  and only accessible by authorized Izogn administrators.  Information will be encrypted in the database.,credit card information secured server accessible authorized izogn administrator information encrypted database
A, The website shall be available for use 24 hours per day  365 days per year.,website shall available use hour per day day per year
A,The website shall achieve 99.5% up time.,website shall achieve time
A, All movies shall be streamed on demand  at any time of the day.,movie shall streamed demand time day
FT,The website shall continue to operate if the streaming server goes down.,website shall continue operate streaming server go
FT,The website shall continue to operate if the payment gateway goes down.,website shall continue operate payment gateway go
SC,The streaming server will support 50 simultaneous streaming connections.,streaming server support simultaneous streaming connection
SC,The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.,streaming server support maximum movie new server added support movie
SC, The server will support a maximum of 1 000 simultaneous users.,server support maximum simultaneous user
SC, The website shall be capable of supporting 100 000 customers.,website shall capable supporting customer
MN,The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,product shall expected operate within maximum maintenance budget minimum year
O,All aspects of the website shall be accessed by a web browser over the Internet.,aspect website shall accessed web browser internet
O,The same hardware supporting the current website will be used to support the new system.,hardware supporting current website used support new system
O, We must be able to interface with the following browsers: IE 5.X  6.0  Netscape 6.x  7.x  8.x and Firefox 1.0.,must able interface following browser ie x netscape x x x firefox
O,Website must interface with the CyberSource API to process credit card transactions.,website must interface cybersource api process credit card transaction
O,Website must be fully operational with MSN TV2.,website must fully operational msn tv
O,Movies shall be encoded and streamed via Windows Media Player 9.0.,movie shall encoded streamed via window medium player
O,Movies shall be encoded for 56k and 256k streams.,movie shall encoded k k stream
MN,Promotional updates to the website should take a day to update.,promotional update website take day update
PE,Izogn Administrator must be able to update the category listings on the website within 2 minutes.,izogn administrator must able update category listing website within minute
PE,Izogn Administrator must be able to add new products to the website within 2 minutes.,izogn administrator must able add new product website within minute
A,The system will provide a 24 hour 800 toll free number for support to its customers.,system provide hour toll free number support customer
US,The website will provide a help section with answers and solutions to common problems.,website provide help section answer solution common problem
A, Velkat staff will be available for phone support between 7am-7pm  M-F to provide technical support to the Izogn administrators.,velkat staff available phone support pm f provide technical support izogn administrator
O,The product shall be able to be installed in the specified environment within 1 working day.,product shall able installed specified environment within working day
SE,Only registered customers can purchase streaming movies.,registered customer purchase streaming movie
SE, A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.,customer stream movie purchased within day viewing period
SE,Only authorized personnel can access customer records in the database.,authorized personnel access customer record database
SE,Only administrators can activate a pre-paid card.,administrator activate pre paid card
SE,Only authorized personnel can access sales information.,authorized personnel access sale information
SE,The website shall prevent its data from being corrupted when incorrect data is entered in.,website shall prevent data corrupted incorrect data entered
SE, The website shall protect itself from intentional abuse  and notify the administrator at all occurrences.,website shall protect intentional abuse notify administrator occurrence
SE,Data integrity scripts will be run on a weekly basis to verify the integrity of the database.,data integrity script run weekly basis verify integrity database
SE, The website shall make its user aware of its information practices before collection data from them via a Privacy Policy  accessible on all pages of the website.,website shall make user aware information practice collection data via privacy policy accessible page website
SE,The system shall notify customers of changes to its information policy.,system shall notify customer change information policy
SE,The system shall reveal private information only in compliance with the organization s information policy.,system shall reveal private information compliance organization information policy
SE, All customer information will be stored on a secure database  accessible only to authorized personnel.,customer information stored secure database accessible authorized personnel
SE,All credit card information will be encrypted in the database.,credit card information encrypted database
SE,The streaming server will have anti-virus software to prevent infection of malicious viruses.,streaming server anti virus software prevent infection malicious virus
LF,The website should cater to all tribes in Nigeria.,website cater tribe nigeria
LF,The website shall not be offensive to religious or ethnic groups.,website shall offensive religious ethnic group
LF, The website should appeal to all Africans  not only Nigerians.,website appeal african nigerian
O,The website should use Flash to provide animation on the home page.,website use flash provide animation home page
L,IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.,izognmovies shall meet licensing requirement set forth appropriate organization order stream african movie
L,The website will comply with W3C standards.,website comply w c standard
L,The PHP code will comply with PEAR standards.,php code comply pear standard
F, The website will allow customers to search for movies by title  actor  or director.,website allow customer search movie title actor director
F, viewing a movie details  the website will display the movies description  actor  and director entered in by the administrator.,viewing movie detail website display movie description actor director entered administrator
F, Website shall request  and authorize credit card payment before allowing a user to stream a movie.,website shall request authorize credit card payment allowing user stream movie
F, shall be able to stream purchased movie via Windows Media Player  for up to 2 days aftere purchase date.,shall able stream purchased movie via window medium player day aftere purchase date
F,Website shall allow customers to browse movies by categories entered in by izogn administrator.,website shall allow customer browse movie category entered izogn administrator
F,Website shall allow customers to view reviews of selected movies by other customers.,website shall allow customer view review selected movie customer
F,Website shall allow customers to add their own movie review for a selected movie.,website shall allow customer add movie review selected movie
F,Website shall allow the Izogn administrator to approve a review posted by a customer.,website shall allow izogn administrator approve review posted customer
F,System will allow customers to pay for a streaming movie with a pre-paid card.,system allow customer pay streaming movie pre paid card
F, Website shall allow customers to purchase pre-paid cards of $5  $10  or $20 value either by credit card or mail-in payment option.,website shall allow customer purchase pre paid card value either credit card mail payment option
F, System shall automatically update the main page of the website every Friday  and show the 4 latest movies that have been added to the website.,system shall automatically update main page website every friday show latest movie added website
F,System shall allow users to update their billing and contact information via the  My Account  section of the website.,system shall allow user update billing contact information via account section website
F, Pre-paid cards shall be distributed via email  or via a printed paper card.,pre paid card shall distributed via email via printed paper card
F,Only registered customers can purchase streaming movies.,registered customer purchase streaming movie
F, Movies can only be streamed if the customer has purchased a movie  and is within the 2-day time period to stream the movie.,movie streamed customer purchased movie within day time period stream movie
F,Website must be able to support free trial periods with various parameters set by the Izogn Manager.,website must able support free trial period various parameter set izogn manager
F, All streaming movie sales will be logged in the database  and accessible by the administrator.,streaming movie sale logged database accessible administrator
F, All registered customer information shall be stored and maintained in the database  even after the customer cancels their account.,registered customer information shall stored maintained database even customer cancel account
F, Daily usage statistics should be logged  and accessible by the administrator.,daily usage statistic logged accessible administrator
F,The owner shall have free access to all of the streaming movies.,owner shall free access streaming movie
PE,Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.,total lead cycle time must completed minute lead volume business hour cst pm cst minute lead volume business hour
PE,No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.,lead evaluation complete time period longer second lead processed
PE,For leads that process longer than 25 seconds the system will record the event and duration,lead process longer second system record event duration
PE,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,process must fit within processing time condition set forth auto rep assignment process lead assigned within minute total life cycle
O,The lead washing process will operate within the established physical web service structure.,lead washing process operate within established physical web service structure
O, The washing process must use a non binding  neutral data format  such as xml  when receiving and processing lead data.,washing process must use non binding neutral data format xml receiving processing lead data
A,Defect reports will be available to technical units on a 24x7 basis.,defect report available technical unit x basis
MN,Washing parameters will be updated during scheduled maintenance hours.,washing parameter updated scheduled maintenance hour
F,The vendor will verify the invalid lead.,vendor verify invalid lead
F,Vendor will submit a credit validation record to be applied to the enterprise billing system.,vendor submit credit validation record applied enterprise billing system
F,If a lead is scored to the high range the system will supply the lead data and score to the enterprise system.,lead scored high range system supply lead data score enterprise system
F,The leads washing functionality will validate all leads received by the web service for valid data,lead washing functionality validate lead received web service valid data
F,The leads washing functionality will insert all leads captured by the web service.,lead washing functionality insert lead captured web service
F,If the leads score falls within the high average score then it will be process by the ARA functionality.,lead score fall within high average score process ara functionality
F,If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.,lead score fall within medium average set manual verification enrollment coordinator eleads system
F,If the leads score falls within the low average then it will be returned to the supplying vendor,lead score fall within low average returned supplying vendor
F,The leads washing functionality will compile both contact and academic scoring information for a total score.,lead washing functionality compile contact academic scoring information total score
F,The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.,lead washing functionality use parameter supplied corporate school score part lead
F,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,lead washing functionality return lead data supplied vendor along reason rejection
F,The leads washing functionality will have an interface in which lead data parameters can be maintained.,lead washing functionality interface lead data parameter maintained
F,The leads washing functionality will verify the users authentication and rights to make parameter updates.,lead washing functionality verify user authentication right make parameter update
F,The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,lead washing functionality store potential lead duplicate returned enterprise system
F,Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep.,prior submitting lead enterprise system lead washing functionality assign lead admission rep
F,The leads washing functionality shall receive a period list of available reps from the enterprise system.,lead washing functionality shall receive period list available rep enterprise system
LF,The product shall simulate the look of ships at sea.,product shall simulate look ship sea
LF,The product shall display the grids within a circle as a view from a periscope.,product shall display grid within circle view periscope
LF,The product shall display each type of ship in a grid using an image of the specific type of ship.,product shall display type ship grid using image specific type ship
LF, When the offensive player takes a shot  the product shall simulate the sound of a ship at sea.,offensive player take shot product shall simulate sound ship sea
LF, When a shot is marked as a miss  the product shall simulate the sound of a shot missing its target.,shot marked miss product shall simulate sound shot missing target
LF, When a shot is marked as a hit  the product shall simulate the sound of a shot hitting its target.,shot marked hit product shall simulate sound shot hitting target
LF, When a ship is sunk  the product shall simulate the sound of a sinking ship.,ship sunk product shall simulate sound sinking ship
A, The product shall be available 24 hours per day  seven days per week.,product shall available hour per day seven day per week
PE,The product shall able to handle a large number of games simultaneously.,product shall able handle large number game simultaneously
PE,The response time shall be fast enough to maintain the flow of the game.  The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,response time shall fast enough maintain flow game response time shall second response remaining response
PE,The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,product shall protect identity player product shall provide player access information might reveal identity another player
US,The product shall be intuitive and self-explanatory.  Nine out ten users shall be able to successfully complete a game with no training.,product shall intuitive self explanatory nine ten user shall able successfully complete game training
US, The product shall be available to players who understand English  Spanish and French.  The product shall allow the user to select the language upon accessing the product.,product shall available player understand english spanish french product shall allow user select language upon accessing product
SE,The product shall provide players no access to information that might reveal the identity of another player,product shall provide player access information might reveal identity another player
PE,The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,response time shall fast enough maintain flow game response time shall second response remaining response
F,The product shall maintain a list of players.,product shall maintain list player
F,The product shall allow a user to identify himself or herself as a player.,product shall allow user identify player
F, Once a game has been initiated  the product shall make the players assigned to the game unavailable for selection from the list of players.,game initiated product shall make player assigned game unavailable selection list player
F,The product shall allow a user to remove himself or herself from the list of players at any time.,product shall allow user remove list player time
F,The product shall make inactive players unavailable for selection from the list of players.,product shall make inactive player unavailable selection list player
F,The product shall remove players who have been inactive for 24 hours from the list of players.,product shall remove player inactive hour list player
F,The product shall allow a player to initiate a game by selecting another available player from the list of players.,product shall allow player initiate game selecting another available player list player
F, Once a game is initiated  the product shall display a defensive grid to each player,game initiated product shall display defensive grid player
F, Once a game is initiated  the product shall display an offensive grid to each player.,game initiated product shall display offensive grid player
F,The product shall prevent a player from viewing the offensive or defensive grids of the other player.,product shall prevent player viewing offensive defensive grid player
F, Once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids.,game initiated product shall allow player position ship respective defensive grid
F,The product shall allow a player to position ships horizontally on their grid.,product shall allow player position ship horizontally grid
F,The product shall allow the player to position ships vertically on their grid.,product shall allow player position ship vertically grid
F,The product shall allow the player to position ships diagonally on their grid,product shall allow player position ship diagonally grid
F,The product shall prevent the player from overlapping ships on their grid.,product shall prevent player overlapping ship grid
F, When both players have positioned their 5 ships on their defensive grids  the product shall define the status of each player for the first turn.,player positioned ship defensive grid product shall define status player first turn
F, For each turn  the product shall identify one player as offensive status and one player as defensive status.,turn product shall identify one player offensive status one player defensive status
F, The product shall maintain the status of each player for a turn  either offensive or defensive.,product shall maintain status player turn either offensive defensive
F, At the start of each turn  the product shall notify each player of his or her status.,start turn product shall notify player status
F, For each turn  the product shall allow the offensive player to define a shot.,turn product shall allow offensive player define shot
F, For each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,shot product shall examine defensive grid defensive player determine whether shot hit miss
F, For each shot  the product shall notify the players whether the shot was a hit or miss.,shot product shall notify player whether shot hit miss
F, For each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,shot product shall mark shot hit miss defensive grid defensive player
F, For each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.,shot product shall mark shot hit miss offensive grid offensive player
F,When the hit results in sinking a ship  the product shall notify the players that the ship was sunk.,hit result sinking ship product shall notify player ship sunk
F,When the hit results in sinking a ship  the product shall mark the ship as sunk on the defensive grid of the defensive player.,hit result sinking ship product shall mark ship sunk defensive grid defensive player
F,When the hit results in sinking a ship  the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,hit result sinking ship product shall indicate type ship sunk defensive grid defensive player
F,When the hit results in sinking a ship  the product shall mark the ship as sunk on the offensive grid of the offensive player.,hit result sinking ship product shall mark ship sunk offensive grid offensive player
F,If the shot was marked as a hit  the product shall allow the offensive player to define a shot.,shot marked hit product shall allow offensive player define shot
F,If the shot was marked as a miss  the product shall change the status of the offensive player to defensive,shot marked miss product shall change status offensive player defensive
F,If the shot was marked as a miss  the product shall change the status of the defensive player to offensive,shot marked miss product shall change status defensive player offensive
F,The product shall continue to assign turns until the game is ended.,product shall continue assign turn game ended
F,The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player s ships  which had not been previously marked as sunk.,product shall end game hit offensive player result sinking last defensive player ship previously marked sunk
F,The product shall allow a player to end a game at any time during the game.,product shall allow player end game time game
F,When a game is ended  the product shall notify the players that the game is ended.,game ended product shall notify player game ended
F,The notification of the game ending will include the reason the game is ended (i.e.  a player has won the game or a player has ended the game).,notification game ending include reason game ended e player game player ended game
F,When a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players.,game ended product shall allow player identify available player list player
F,When a game is ended  the product shall allow each player to remove himself or herself from the list of players.,game ended product shall allow player remove list player
US,The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.,system shall easy use caller supervisor caller supervisor must able accomplish system task within minute
US,The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.,system shall easy learn caller supervisor caller supervisor shall learn use system within minute
PE,The system shall be responsive. At the DePaul TeleServices Center  when a supervisor uses the system to view a callers schedule  the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,system shall responsive depaul teleservices center supervisor us system view caller schedule system response time must second time second rest time
PE,On a 56k connection  the system response time for all operations must be no more than 6 seconds 90% of the time.,k connection system response time operation must second time
PE,On a 112k connection or faster  the system response time for all operations must be no more than 3 seconds 90% of the time.,k connection faster system response time operation must second time
A,The system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.,system shall high availability every day year system must available use pm day year
A,The system must be available for use between 7:00AM and 11:59PM all days of the year.,system must available use pm day year
MN,The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.,product shall internet browser independent product must run using internet explorer netscape navigator
SE,The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.,product shall ensure supervisor advertise empty time slot product must ensure supervisor allowed access advertise empty time slot
SE,The product shall ensure that only supervisors can enter a caller s schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.,product shall ensure supervisor enter caller schedule product must ensure supervisor allowed access advertise empty time slot
SE,The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.,product shall ensure supervisor view schedule caller product must ensure supervisor allowed access advertise empty time slot
LF,The interface shall have a simple look. In the interface and usability survey  90% of beta testers must report that the interface is adequately simple.,interface shall simple look interface usability survey beta tester must report interface adequately simple
LF,The interface shall be appealing to callers and supervisors. In the interface and usability survey  80% of beta testers must report that the interface is appealing.,interface shall appealing caller supervisor interface usability survey beta tester must report interface appealing
LF,The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.,product shall provide gui based monitoring service system administrator shall monitor message exchange predict determine problem also provide internal external support
LF,The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.,product shall comply city chicago application development guide framework application development framework provide structured graphical user interface
US,The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,product shall provide monitoring service product shall easy system administrator dba use two week usage
US,The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.,product shall provide error tracking service product shall help system administrator dba resolve transaction error time
US,The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),product shall provide portal product shall help system administrator analyze transaction ad hoc reporting kpis key performance indicator
PE,The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications,product shall provide asynchronous messaging product shall provide asynchronous messaging enable parallel processing reduce overhead communication
PE,The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.,product shall provide multi threading load balancing product shall provide multi threading technology well load balancing overcome data load spike traffic
PE,The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds,product shall process message within second product shall maximum message processing time second
PE,The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.,product shall poll system message every second product shall poll system new message maximum every second
PE,The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.,product shall provide dynamic change support transparent resource addition product shall support transparent resource addition dynamic change support provide scalability avoid service interruption day
A,The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,product shall available time rationale avoid service interruption busiest customer service response period product shall available time regular business day
FT,The product shall be robust.The product shall have fault avoidance based on standards adoption.,product shall robust product shall fault avoidance based standard adoption
FT,The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.,product shall robust fault tolerance product shall fault tolerance using recovery technique compensatory transaction routing around failure
SC,The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.,product shall able process transaction product shall process minimum million transaction per year
O,The product shall be platform independent.The product shall enable access to any type of development environment and platform.,product shall platform independent product shall enable access type development environment platform
O,The product shall interface CSR and Datastream.The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.,product shall interface csr datastream product shall exchange message csr eam real time basis without direct interface two system
MN,The product shall continue to operate during upgrade  change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.,product shall continue operate upgrade change new resource addition product shall able continue operate interruption service due new resource addition
MN,The product shall be updated on a regular basis.The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.,product shall updated regular basis product new major feature introduced every six month quarterly maintenance release every six month
MN,The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.,product shall operate every platform product shall accommodate new technology without change architecture
SE, The product shall have security.The product shall provide authentication  and authorization.,product shall security product shall provide authentication authorization
SE,The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.,product shall information security product shall enable privacy encryption w security integrity checking
SE,The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.,product shall audit capability product shall store message minimum one year audit transaction tracking purpose
LF,The system shall use IBM and CCR branding standards. The interface must have one IBM logo and one CCR logo.,system shall use ibm ccr branding standard interface must one ibm logo one ccr logo
LF,The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.,system shall displayable work computer ccr user may system interface shall formatted display pixel resolution
LF,The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports,system interface use ccr nomenclature system must use nomenclature used existing wcs system report
LF,The interface must summarize the data in a fashion that s appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface,interface must summarize data fashion appealing ccr management every report type must least one high level summary shown result dashboard interface
US,The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard,system must use point click interface selection navigation functionality must able activated selected either mouse keyboard
US,The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.,interface shall easy use user able successfully use system generate report first use interface adhere ibm usability standard
US,Rreports must be easy to generate. eports must be generated within one button click and exported within one button click (after selecting the report),rreports must easy generate eports must generated within one button click exported within one button click selecting report
US,A user shall be able to use the system without instruction after a short amount of time. After one use a user should understand and remember 90% of the system usage and navigation.,user shall able use system without instruction short amount time one use user understand remember system usage navigation
US,All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available),ccr user shall receive training wcs system deployed one training session held ccr user system deployment based ccr user available
US,The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.,wcs system shall use appropriate nomenclature terminology defined corporate community grant organization interface report undergo usability test ccr user
A,The WCS system shall be available at all times as long as IBM s internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM s internal intranet W3 is available.,wcs system shall available time long ibm internal intranet w accessible wcs system available time ibm internal intranet w available
SC,The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.,wcs system shall ability connect designated wcs database currently included system
SC,The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.,wcs system shall ability include data region outside united state accessed user outside united state approved ccr management
O,The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.,wcs system shall run window environment wcs shall accessed user internet ibm computer running window operating system
O,The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats).  Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.,brio portion wcs system must able export file spreadsheet form microsoft excel lotus format brio provide button user interface produce export report xl file format
MN,The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.,wcs system must run query wcs database specified day update available data available ccr user query must made external database data refresh week
MN, All changes  updates  and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides. Every change must be reflected in WCS system documentation,change update addition wcs system shall updated wcs developer wcs user guide every change must reflected wcs system documentation
SE,The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.,system shall accessed authorized corporate community grant ccr employee user must authenticated using ibm intranet user name password
SE,The WCS system shall not allow automatic logins by any user. Cookies containing WCS login information about a user will not be stored on a user s computer.,wcs system shall allow automatic logins user cooky containing wcs login information user stored user computer
SE,Each team owner will need to use a username and password in order to be authenticated to reach the team owner s page,team owner need use username password order authenticated reach team owner page
SE,The Commissioner will be the only authorized user per league to adjust league settings.,commissioner authorized user per league adjust league setting
LF,Each page shall contain a navigation menu which shows the index into which the current page is contained.,page shall contain navigation menu show index current page contained
LF,Each page shall contain a similar format with action items in one location and navigation buttons in a different location.,page shall contain similar format action item one location navigation button different location
LF,The message board shall contain the 5 most recently posted messages on the league page. The messages will contain up to the first 150 characters of the message.,message board shall contain recently posted message league page message contain first character message
US,A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.,new user shall able navigate league team page within second reaching start page
US,Users shall be able to reach the  add    drop   and  trade player  pages with one click from the team owner s page.,user shall able reach add drop trade player page one click team owner page
US,Users shall be able to view at least 25 NFL player statistics and points on each page.,user shall able view least nfl player statistic point page
US,The application shall ask the user to confirm dropping a player or trading a player before performing the action.,application shall ask user confirm dropping player trading player performing action
PE,The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.,application shall able complete every user transaction within one fourth second receiving request network
A,The application shall have a downtime of at most 10 minutes per year.,application shall downtime minute per year
O,The application shall run on a web application server.,application shall run web application server
PE,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,maximum wait time user navigating one screen another within dispute application shall second
PE,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,dispute application shall support concurrent user without degradation performance application
O, The Disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows.  Monday   Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,dispute application shall available x x exception following scheduled maintenance window monday saturday est sunday amd est
O,The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,dispute application shall interface statement database statement database provides transaction detail dispute system transaction detail must obtained statement database
O,A primary database will be used to store cached data for active users.,primary database used store cached data active user
A,The system shall achieve 95% up time.,system shall achieve time
LF,The system shall have a professional appearance,system shall professional appearance
LF,The product shall have a consistent color scheme and fonts.,product shall consistent color scheme font
US,The system shall be used by realtors with no training.,system shall used realtor training
US,The system shall be intuitive and self explanatory.,system shall intuitive self explanatory
US,The product shall be easy for a realtor to learn.,product shall easy realtor learn
US,The product shall use symbols and words that are naturally understandable by the realtor community.,product shall use symbol word naturally understandable realtor community
PE,The product shall produce search results in an acceptable time,product shall produce search result acceptable time
PE,The search results shall be returned no later 30      seconds  after the user has entered the search criteria,search result shall returned later second user entered search criterion
PE,The product shall generate a CMA report in an acceptable time.,product shall generate cma report acceptable time
PE,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,cma report shall returned later second user entered cma report criterion
PE,The product shall synchronize contacts and appointments in an acceptable time.,product shall synchronize contact appointment acceptable time
PE,The product shall synchronize with the office system every hour.,product shall synchronize office system every hour
A, The product shall be available for use 24 hours per day  365 days  per year,product shall available use hour per day day per year
A, Out of 1000 accesses to the system  the system is available 999 times.,access system system available time
FT,The product shall operate in offline mode whenever internet connection is unavailable.,product shall operate offline mode whenever internet connection unavailable
FT, The product shall allow the user to view previously downloaded search results  CMA reports  and appointments.,product shall allow user view previously downloaded search result cma report appointment
FT,The product shall retain user preferences in the event of a failure.,product shall retain user preference event failure
FT,100% of saved user preferences shall be restored when system comes back online.,saved user preference shall restored system come back online
SC,The product shall be able to support multiple remote users,product shall able support multiple remote user
SC,The product shall be able support 1000 simultaneous users.,product shall able support simultaneous user
SC,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,product shall capable handling existing user number expected grow time within next year
US,The product shall be installed by an untrained realtor   without recourse to separately-printed instructions.,product shall installed untrained realtor without recourse separately printed instruction
US,90% of untrained realtors shall be able to install the product on their device without printed instructions,untrained realtor shall able install product device without printed instruction
PO,The product is expected to run on Windows CE and Palm operating systems.,product expected run window ce palm operating system
SE,Only registered realtors shall be able to access the system.,registered realtor shall able access system
SE,Every user of the system shall be authenticated and authorized.,every user system shall authenticated authorized
SE,The product shall prevent its data from incorrect data being introduced.,product shall prevent data incorrect data introduced
F,The system shall allow a real estate agent to query MLS information,system shall allow real estate agent query ml information
F,The user shall be able to get driving directions to a selected property,user shall able get driving direction selected property
F,The user shall be able to download appointments and contact information for clients,user shall able download appointment contact information client
F,The system shall display clear property images in the search results,system shall display clear property image search result
SC,system shall be able to handle all of the user requests/usage during business hours.,system shall able handle user request usage business hour
SC,The system shall cater to 10 simultaneous users from 9am to 5pm.,system shall cater simultaneous user pm
SC,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,system shall capable processing nursing student class next year
SC,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,system shall expected manage nursing program curriculum class clinical scheduling minimum year
O,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,system shall able operate within business office environment typical nursing department depaul university
O,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,system shall used within specification defined computer used program administrator nursing staff member
O,A secondary database will be used to store historical statistics and data.,secondary database used store historical statistic data
F,The system shall be able to call the seller or buyer to schedule an appointment,system shall able call seller buyer schedule appointment
F,The realtor shall be notified of new client appointments after automatic synchronization with office system,realtor shall notified new client appointment automatic synchronization office system
